dense,embed_size,filter,kernel,layers,pool,accuracy,loss
64.0,64.0,128.0,19.0,3.0,4.0,0.656445324420929,1.0544484922289847
128.0,48.0,16.0,19.0,3.0,4.0,0.5848730206489563,1.3495446891337632
16.0,16.0,128.0,19.0,3.0,4.0,0.6348925828933716,1.1210288769751786
128.0,64.0,64.0,19.0,3.0,2.0,0.6350683569908142,1.1036026092618705
256.0,48.0,16.0,3.0,3.0,4.0,0.5455957055091858,1.424044104963541
32.0,64.0,128.0,19.0,3.0,4.0,0.6530175805091858,1.0346629121899604
32.0,16.0,128.0,19.0,3.0,2.0,0.6258984208106995,1.1072559782862663
32.0,32.0,64.0,19.0,3.0,4.0,0.6225781440734863,1.1408087890595198
32.0,64.0,128.0,19.0,3.0,4.0,0.6561425924301147,1.0166747301071881
32.0,48.0,16.0,19.0,3.0,4.0,0.565625011920929,1.397840355336666
32.0,64.0,128.0,19.0,3.0,4.0,0.6509765386581421,1.1170428158342838
32.0,32.0,128.0,35.0,3.0,2.0,0.6434179544448853,1.0740942749381066
32.0,16.0,128.0,3.0,1.0,6.0,0.5297265648841858,1.4895527629554273
32.0,64.0,64.0,11.0,3.0,4.0,0.6226171851158142,1.1633411509543656
32.0,64.0,16.0,19.0,3.0,4.0,0.5835644602775574,1.359008645415306
32.0,48.0,128.0,35.0,1.0,4.0,0.6011816263198853,1.2919397382438182
32.0,32.0,128.0,3.0,3.0,2.0,0.5978320240974426,1.358332829028368
32.0,16.0,64.0,19.0,1.0,4.0,0.5438379049301147,1.4535418808460236
16.0,64.0,16.0,19.0,3.0,4.0,0.5737109184265137,1.4115755212306977
256.0,48.0,128.0,35.0,1.0,4.0,0.6231250166893005,1.1812105748802424
64.0,32.0,128.0,3.0,3.0,2.0,0.601318359375,1.3206902933865785
16.0,16.0,64.0,19.0,3.0,4.0,0.6142382621765137,1.2041903638839722
32.0,64.0,32.0,19.0,1.0,4.0,0.5584179759025574,1.4195830082893373
32.0,48.0,128.0,11.0,3.0,4.0,0.6378710865974426,1.0869290556013584
64.0,64.0,128.0,3.0,3.0,2.0,0.6120019555091858,1.2651543334126472
16.0,32.0,128.0,19.0,1.0,6.0,0.5756933689117432,1.4186965447664261
32.0,16.0,64.0,19.0,3.0,4.0,0.6128027439117432,1.1595653045177459
256.0,64.0,32.0,19.0,3.0,4.0,0.6248828172683716,1.1585920514166355
64.0,48.0,16.0,11.0,1.0,4.0,0.5172363519668579,1.5023364427685737
128.0,64.0,128.0,19.0,3.0,4.0,0.652783215045929,1.0235850854963064
128.0,64.0,128.0,19.0,3.0,4.0,0.6503515839576721,1.0343780250847339
128.0,64.0,128.0,19.0,3.0,4.0,0.6555859446525574,1.0122950305044651
128.0,64.0,128.0,19.0,3.0,4.0,0.6611914038658142,1.0079370176047087
128.0,64.0,128.0,19.0,3.0,4.0,0.6587695479393005,1.0233060932159423
128.0,64.0,128.0,19.0,3.0,4.0,0.6598730683326721,1.0403408865630626
128.0,64.0,128.0,19.0,3.0,4.0,0.656005859375,1.0233991891890764
128.0,64.0,128.0,19.0,3.0,4.0,0.6564745903015137,1.0197028768062593
128.0,64.0,128.0,19.0,3.0,4.0,0.6490136981010437,1.032541975080967
128.0,64.0,128.0,19.0,3.0,4.0,0.6594531536102295,1.0442912474274635
128.0,64.0,128.0,3.0,3.0,4.0,0.625732421875,1.1538764112442732
16.0,64.0,128.0,19.0,3.0,2.0,0.6415429711341858,1.0907911622524262
128.0,32.0,128.0,19.0,3.0,4.0,0.6436230540275574,1.086455542743206
256.0,64.0,64.0,19.0,3.0,4.0,0.6406152248382568,1.1068117664009334
64.0,64.0,16.0,11.0,1.0,4.0,0.5331347584724426,1.4510283176600933
16.0,48.0,128.0,3.0,3.0,4.0,0.6020605564117432,1.2292983107268811
128.0,64.0,128.0,19.0,3.0,2.0,0.6496484279632568,1.0689241772145033
256.0,16.0,64.0,19.0,3.0,4.0,0.6252831816673279,1.1351896121352911
128.0,64.0,128.0,35.0,2.0,4.0,0.6503808498382568,1.0509225319325923
64.0,64.0,32.0,19.0,1.0,8.0,0.5872167944908142,1.3642562751471996
128.0,64.0,128.0,11.0,3.0,2.0,0.6408495903015137,1.1088238622993232
256.0,32.0,128.0,3.0,3.0,4.0,0.6266308426856995,1.153051271215081
128.0,16.0,128.0,19.0,2.0,6.0,0.6307714581489563,1.1125727179646492
64.0,64.0,64.0,19.0,1.0,4.0,0.5934863090515137,1.3340602867305278
128.0,64.0,32.0,19.0,3.0,4.0,0.6202343702316284,1.1906342765688895
256.0,64.0,128.0,11.0,2.0,2.0,0.637744128704071,1.1149468114972114
32.0,32.0,128.0,3.0,3.0,6.0,0.5808789134025574,1.281067304685712
128.0,16.0,64.0,19.0,1.0,4.0,0.5628320574760437,1.4129769864678383
64.0,64.0,128.0,19.0,3.0,4.0,0.648681640625,1.0499873891472817
16.0,48.0,128.0,19.0,2.0,4.0,0.6242773532867432,1.1796174345910548
32.0,64.0,128.0,35.0,3.0,2.0,0.6397070288658142,1.0527897997200488
128.0,32.0,128.0,11.0,1.0,4.0,0.6022167801856995,1.3345700641721487
256.0,16.0,128.0,3.0,3.0,6.0,0.5905859470367432,1.2836725959926845
128.0,64.0,64.0,19.0,3.0,4.0,0.6410253643989563,1.096691710948944
32.0,64.0,32.0,19.0,3.0,4.0,0.6145703196525574,1.1909321727603674
64.0,64.0,16.0,19.0,2.0,8.0,0.5694433450698853,1.3950157713890077
16.0,64.0,128.0,19.0,1.0,2.0,0.5764453411102295,1.397229967713356
256.0,16.0,64.0,19.0,3.0,4.0,0.6321386694908142,1.1509095752239227
128.0,64.0,32.0,3.0,2.0,4.0,0.58203125,1.3512525679171086
64.0,48.0,16.0,19.0,1.0,4.0,0.5325488448143005,1.4638218396902085
128.0,64.0,128.0,19.0,3.0,2.0,0.6580273509025574,1.0866920485347509
128.0,16.0,64.0,11.0,2.0,4.0,0.6048242449760437,1.3062235190719367
256.0,64.0,32.0,19.0,3.0,4.0,0.6145995855331421,1.1715114064514638
128.0,64.0,128.0,3.0,1.0,8.0,0.5846972465515137,1.3267414355278015
32.0,48.0,16.0,19.0,3.0,4.0,0.5758105516433716,1.3906514312326907
64.0,64.0,128.0,19.0,3.0,2.0,0.6493164300918579,1.0472518706321716
128.0,32.0,128.0,19.0,3.0,4.0,0.6564745903015137,1.0552391835302115
16.0,64.0,128.0,27.0,2.0,6.0,0.639208972454071,1.0899312415719031
128.0,64.0,32.0,19.0,1.0,4.0,0.5720508098602295,1.36156681612134
128.0,48.0,16.0,3.0,3.0,4.0,0.5262792706489563,1.4297925116121768
32.0,64.0,128.0,19.0,3.0,4.0,0.6544140577316284,1.0195609948784112
64.0,32.0,128.0,19.0,2.0,2.0,0.6270410418510437,1.153196000084281
16.0,16.0,64.0,27.0,1.0,4.0,0.5189160108566284,1.4844721780717374
256.0,48.0,16.0,11.0,3.0,4.0,0.5572265386581421,1.4607832212746144
128.0,64.0,128.0,3.0,2.0,4.0,0.6185058355331421,1.1954153514653445
32.0,32.0,128.0,19.0,3.0,2.0,0.64501953125,1.1138170865178108
64.0,64.0,128.0,19.0,1.0,6.0,0.6218163967132568,1.2422061479091644
128.0,16.0,64.0,19.0,3.0,4.0,0.6262304782867432,1.1362180187553168
128.0,48.0,16.0,19.0,2.0,4.0,0.5706445574760437,1.4133936616778373
256.0,64.0,128.0,11.0,3.0,4.0,0.6502538919448853,1.0791445115208627
128.0,64.0,128.0,3.0,1.0,2.0,0.5635644793510437,1.383428954333067
64.0,16.0,64.0,19.0,3.0,4.0,0.6149023175239563,1.1416394958645106
128.0,64.0,128.0,19.0,3.0,4.0,0.6602441668510437,1.0465430681407453
32.0,64.0,32.0,27.0,2.0,8.0,0.6076366901397705,1.238480087891221
128.0,64.0,128.0,19.0,3.0,4.0,0.6558789014816284,1.030180372968316
256.0,64.0,128.0,11.0,1.0,2.0,0.6076757907867432,1.2821596901863814
128.0,32.0,128.0,3.0,3.0,6.0,0.5972851514816284,1.2768181522935629
32.0,16.0,64.0,19.0,3.0,4.0,0.6221484541893005,1.1779026110470294
64.0,64.0,128.0,19.0,2.0,4.0,0.6421191692352295,1.0669292733818292
16.0,64.0,128.0,35.0,1.0,4.0,0.5990625023841858,1.3223279839009046
128.0,64.0,128.0,19.0,3.0,2.0,0.6405175924301147,1.0559590344130994
128.0,16.0,64.0,3.0,2.0,4.0,0.5670703053474426,1.4036168466508387
32.0,64.0,128.0,19.0,3.0,4.0,0.6571289300918579,1.074150637611747
128.0,48.0,16.0,19.0,1.0,4.0,0.5320996046066284,1.475049417614937
16.0,64.0,128.0,35.0,3.0,2.0,0.6349413990974426,1.101792716085911
128.0,32.0,128.0,19.0,2.0,6.0,0.6406445503234863,1.0925849296152592
256.0,16.0,64.0,11.0,3.0,4.0,0.6151171922683716,1.2001665082573891
128.0,64.0,128.0,3.0,3.0,4.0,0.6289452910423279,1.1413447447121143
32.0,64.0,32.0,19.0,1.0,8.0,0.5664941668510437,1.4005814017355442
64.0,48.0,16.0,19.0,3.0,4.0,0.5706445574760437,1.4055565664172172
128.0,64.0,128.0,19.0,3.0,4.0,0.6518847942352295,1.0169061692804098
32.0,64.0,128.0,27.0,2.0,2.0,0.6321386694908142,1.117047883272171
128.0,16.0,64.0,19.0,3.0,4.0,0.6261816620826721,1.1645531814545393
256.0,64.0,128.0,11.0,1.0,4.0,0.6173046827316284,1.238344447761774
32.0,48.0,16.0,19.0,3.0,4.0,0.5579785108566284,1.3930893921852112
64.0,64.0,128.0,19.0,3.0,4.0,0.6524413824081421,1.0294506449252367
128.0,64.0,128.0,19.0,2.0,2.0,0.6393163800239563,1.1031224036216736
16.0,16.0,64.0,35.0,1.0,4.0,0.5298925638198853,1.4595984801650048
128.0,64.0,128.0,19.0,3.0,4.0,0.6521777510643005,1.0494626919180154
128.0,48.0,16.0,3.0,3.0,4.0,0.5375878810882568,1.4087799920141697
32.0,64.0,128.0,19.0,2.0,4.0,0.6359277367591858,1.0965991680324079
64.0,64.0,128.0,19.0,3.0,2.0,0.6535546779632568,1.0616477631032466
